DPLA Property,DPLA Label ,ESDN MODS,ESDN Notes,DPLA Class
dcterms:alternative,Alternative Title,"<titleInfo type=""alternative""><title>",,dpla:SourceResource
dcterms:isPartOf,Collection,[see below],,dpla:SourceResource
dcterms:contributor,Contributor,<name><namePart> where <name> also contains <role><roleTerm>contributor</roleTerm></role>,"<name> may contain type attribute with value ""personal"" or ""corporate""",dpla:SourceResource
dcterms:creator,Creator,<name><namePart> where <name> also contains <role><roleTerm>creator</roleTerm></role>,"<name> may contain type attribute with value ""personal"" or ""corporate""",dpla:SourceResource
dc:date,Date,"<originInfo><dateCreated keyDate=""yes""> or <originInfo><dateCreated keyDate=""yes"" point=""start"">","<dateCreated> will contain qualifier=""inferred"" or qualifier=""approximate"" or qualifier=""questionable"" where appropriate 
<dateCreated> may also contain encoding attribute ",dpla:SourceResource
dcterms:description,Description,"<note type=""content""> ",,dpla:SourceResource
dcterms:extent,Extent,<physicalDescription><extent>,Parse out of format data where available,dpla:SourceResource
dc:format,Format,<physicalDescription><form>,Will attempt to parse out extent info from this field,dpla:SourceResource
edm:hasType,Genre,"<genre authority=""aat"">",Map to AAT term if possible,dpla:SourceResource
dcterms:identifier,Identifier,<identifier>,,dpla:SourceResource
dcterms:language,Language,<language><languageTerm>,<languageTerm> include type and authority attributes where able to map to code,dpla:SourceResource
dcterms:spatial,Place,"<subject><geographic> 
","<subject> may include authority attribute 
Coordinates will appear in form <subject><cartographics><coordinates>lat, long</coordinates></cartographics></subject> when receiving them from partners",dpla:SourceResource
dcterms:publisher,Publisher,<originInfo><publisher>,,dpla:SourceResource
dc:relation,Relation,<relatedItem><titleInfo><title> ; <relatedItem><location><url>,"
",dpla:SourceResource
dpla:isReplacedBy,Replaced By,"<relatedItem type=""isReferencedBy""><title><titlePart> ; <relatedItem type=""isReferencedBy""><location><url>",,dpla:SourceResource
dpla:replaces,Replaces,"<relatedItem type=""references""><title><titlePart> ; <relatedItem type=""references""><location><url>",,dpla:SourceResource
dc:rights,Rights,<accessCondition>,,dpla:SourceResource
dcterms:rightsholder,Rights Holder,n/a,,dpla:SourceResource
dcterms:subject,Subject,<subject><topic> ; <subject><name><namePart>,"
<subject> may contain attribute ; <subject><name><namePart> may include type attribute with value ""personal"" or ""corporate""",dpla:SourceResource
dcterms:temporal,Temporal Coverage,<subject><temporal>,,dpla:SourceResource
dcterms:title,Title,<titleInfo><title>,,dpla:SourceResource
dcterms:type,Type,<typeOfResource>,,dpla:SourceResource
dc:format,File Format,<physicalDescription><internetMediaType>,,edm:WebResource
dc:rights,Rights,"<accessCondition displayLabel=""Digital Object Rights"">",,edm:WebResource
edm:rights,Standardized Rights Statement,n/a,,edm:WebResource
edm:dataProvider,Data Provider,"<note type=""ownership"">",,ore:Aggregation
edm:hasView,Has View,n/a,,ore:Aggregation
edm:isShownAt,Is Shown At,"<location><url usage=""primary display"" access=""object in context"">",,ore:Aggregation
dpla:intermediateProvider,Intermediate Provider,"<note type=""regional council"">","Used to indicate associated regional council for New York State hosted digital collections (NYH, HRVH, DCMNY)",ore:Aggregation
edm:object,Object,n/a,,ore:Aggregation
edm:preview,Preview,"<location><url access=""preview"">",Thumbnail ,ore:Aggregation
edm:provider,Provider,"""Empire State Digital Network"" ",Static value,ore:Aggregation
edm:rights,Standardized Rights Statement,n/a,,ore:Aggregation
dcterms:title,Collection Title,OAI <SetName>,"Also repeating in <relatedItem type=""host"" displayLabel=""Collection""><titleInfo><title>",dcmitype:Collection
dcterms:description,Collection Description,"<relatedItem type=""host"" displayLabel=""Collection""><abstract>",OAI <SetDescription> not working in REPOX currently,dcmitype:Collection
